date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:03:28	32098/32098	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-7d62%22	https://demo.themefisher.com/copper/blog-details.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/blog-details.html	(from https://demo.themefisher.com/copper/)
01:03:28	29584/29584	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-7390%22	https://demo.themefisher.com/copper/terms.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/terms.html	(from https://demo.themefisher.com/copper/)
01:03:28	27174/27174	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-6a26%22	https://demo.themefisher.com/copper/privacy.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/privacy.html	(from https://demo.themefisher.com/copper/)
01:03:28	32791/32791	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-8017%22	https://demo.themefisher.com/copper/faq.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/faq.html	(from https://demo.themefisher.com/copper/)
01:03:29	29344/29344	---MCZ	200	added ('OK')	text/html	etag:W/%2261ebb2ec-72a0%22	https://demo.themefisher.com/copper/changelog.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/changelog.html	(from https://demo.themefisher.com/copper/)
01:03:29	158295/158295	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2ec-26a57%22	https://demo.themefisher.com/copper/images/brushes/banner.svg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brushes/banner.svg	(from https://demo.themefisher.com/copper/)
01:03:30	22635/22635	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-586b%22	https://demo.themefisher.com/copper/images/screenshots/banner-shot.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/screenshots/banner-shot.png	(from https://demo.themefisher.com/copper/)
01:03:30	502/502	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-1f6%22	https://demo.themefisher.com/copper/images/brands/google.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/google.png	(from https://demo.themefisher.com/copper/)
01:03:30	4170/4170	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-104a%22	https://demo.themefisher.com/copper/images/brands/01-colored.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/01-colored.png	(from https://demo.themefisher.com/copper/)
01:03:30	2948/2948	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-b84%22	https://demo.themefisher.com/copper/images/brands/02-colored.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/02-colored.png	(from https://demo.themefisher.com/copper/)
01:03:31	3571/3571	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-df3%22	https://demo.themefisher.com/copper/images/brands/04-colored.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/04-colored.png	(from https://demo.themefisher.com/copper/)
01:03:31	3822/3822	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-eee%22	https://demo.themefisher.com/copper/images/brands/03-colored.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/03-colored.png	(from https://demo.themefisher.com/copper/)
01:03:31	4276/4276	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-10b4%22	https://demo.themefisher.com/copper/images/brands/05-colored.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/05-colored.png	(from https://demo.themefisher.com/copper/)
01:03:32	2823/2823	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-b07%22	https://demo.themefisher.com/copper/images/brands/06-colored.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brands/06-colored.png	(from https://demo.themefisher.com/copper/)
01:03:32	23282/23282	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2ec-5af2%22	https://demo.themefisher.com/copper/images/screenshots/how-it-works-1.jpg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/screenshots/how-it-works-1.jpg	(from https://demo.themefisher.com/copper/)
01:03:32	17504/17504	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-4460%22	https://demo.themefisher.com/copper/images/screenshots/03.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/screenshots/03.png	(from https://demo.themefisher.com/copper/)
01:03:33	48803/48803	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-bea3%22	https://demo.themefisher.com/copper/images/screenshots/04.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/screenshots/04.png	(from https://demo.themefisher.com/copper/)
01:03:33	153788/153788	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2ec-258bc%22	https://demo.themefisher.com/copper/images/brushes/section-top.svg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brushes/section-top.svg	(from https://demo.themefisher.com/copper/)
01:03:34	153790/153790	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2ec-258be%22	https://demo.themefisher.com/copper/images/brushes/section-bottom.svg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brushes/section-bottom.svg	(from https://demo.themefisher.com/copper/)
01:03:34	2034/2034	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-7f2%22	https://demo.themefisher.com/copper/images/tools/01.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/01.png	(from https://demo.themefisher.com/copper/)
01:03:34	1042/1042	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-412%22	https://demo.themefisher.com/copper/images/tools/02.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/02.png	(from https://demo.themefisher.com/copper/)
01:03:34	644/644	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-284%22	https://demo.themefisher.com/copper/images/tools/03.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/03.png	(from https://demo.themefisher.com/copper/)
01:03:35	1753/1753	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-6d9%22	https://demo.themefisher.com/copper/images/tools/04.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/04.png	(from https://demo.themefisher.com/copper/)
01:03:35	1201/1201	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-4b1%22	https://demo.themefisher.com/copper/images/tools/05.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/05.png	(from https://demo.themefisher.com/copper/)
01:03:35	1258/1258	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-4ea%22	https://demo.themefisher.com/copper/images/tools/06.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/06.png	(from https://demo.themefisher.com/copper/)
01:03:35	1134/1134	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-46e%22	https://demo.themefisher.com/copper/images/tools/07.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/07.png	(from https://demo.themefisher.com/copper/)
01:03:36	821/821	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-335%22	https://demo.themefisher.com/copper/images/tools/08.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/tools/08.png	(from https://demo.themefisher.com/copper/)
01:03:37	43200/43200	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2ec-a8c0%22	https://demo.themefisher.com/copper/images/about/01.jpg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/about/01.jpg	(from https://demo.themefisher.com/copper/)
01:03:37	355/355	---M--	200	added ('OK')	image/png	etag:%2261ebb2ec-163%22	https://demo.themefisher.com/copper/images/testimonials/arrow.png	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/testimonials/arrow.png	(from https://demo.themefisher.com/copper/)
01:03:37	2822/2822	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2ec-b06%22	https://demo.themefisher.com/copper/images/users/01.jpg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/users/01.jpg	(from https://demo.themefisher.com/copper/)
01:03:37	3818/3818	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2ec-eea%22	https://demo.themefisher.com/copper/images/users/02.jpg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/users/02.jpg	(from https://demo.themefisher.com/copper/)
01:03:37	4110/4110	---M--	200	added ('OK')	image/jpeg	etag:%2261ebb2ec-100e%22	https://demo.themefisher.com/copper/images/users/03.jpg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/users/03.jpg	(from https://demo.themefisher.com/copper/)
01:03:38	76126/76126	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261ebb2ec-1295e%22	https://demo.themefisher.com/copper/images/brushes/footer.svg	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/images/brushes/footer.svg	(from https://demo.themefisher.com/copper/)
01:03:38	11929/11929	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Sep%202022%2019:03:43%20GMT	https://demo.themefisher.com/copper/service.html	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/service.html	(from https://demo.themefisher.com/copper/)
01:03:39	97162/97162	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2ec-17b8a%22	https://demo.themefisher.com/copper/plugins/jQuery/jquery.min.js	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/jQuery/jquery.min.js	(from https://demo.themefisher.com/copper/)
01:03:39	60002/60002	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2ec-ea62%22	https://demo.themefisher.com/copper/plugins/bootstrap/bootstrap.min.js	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/bootstrap/bootstrap.min.js	(from https://demo.themefisher.com/copper/)
01:03:39	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261ebb2ec-a76f%22	https://demo.themefisher.com/copper/plugins/slick/slick.min.js	F:/My%20Web%20Sites/CopperLearn/demo.themefisher.com/copper/plugins/slick/slick.min.js	(from https://demo.themefisher.com/copper/)
